City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,sidi akkacha,36.4647,1.3026,283.31,58,83,2.23,DZ,['dt']
310,miandrivazo,-19.5167,45.4667,299.36,85,75,0.91,MG,['dt']
311,abepura,-2.6333,140.5833,300.6,83,40,0.51,ID,['dt']
312,murzuq,25.9155,13.9184,283.23,59,3,4.25,LY,['dt']
313,sabang,5.8933,95.3214,300.92,71,65,8.79,ID,['dt']
314,swakopmund,-22.6833,14.5333,291.62,86,32,1.25,NA,['dt']
315,stowbtsy,53.4785,26.7434,263.25,94,100,4.6,BY,['dt']
316,kolwezi,-10.7148,25.4667,289.23,98,100,1.97,CD,['dt']
317,tomino,41.9877,-8.755,287.69,95,100,2.34,ES,['dt']
318,shubarshi,48.5872,57.1869,250.23,94,99,5.65,KZ,['dt']
319,salinas,36.6777,-121.6555,288.46,80,100,3.09,US,['dt']
320,anna regina,7.2644,-58.5077,298.49,78,2,3.53,GY,['dt']
321,bamboo flat,11.7,92.7167,295.2,94,20,0.51,IN,['dt']
322,dhidhdhoo,6.8833,73.1,300.47,76,83,5.21,MV,['dt']
323,saipan,15.1355,145.701,302.54,65,40,7.2,MP,['dt']
324,kone,-21.0595,164.8658,304.37,58,100,1.34,NC,['dt']
325,mount pearl,47.5166,-52.7813,272.07,87,100,2.57,CA,['dt']
326,gouyave,12.1646,-61.7296,298.58,94,40,5.66,GD,['dt']
327,alo,7.4178,6.7371,299.43,25,66,1.55,NG,['dt']
328,outjo,-20.1167,16.15,295.55,37,99,5.63,NA,['dt']
329,alamosa,37.4695,-105.87,269.14,58,0,5.66,US,['dt']
330,mopti,14.6667,-4.0,296.33,9,62,4.6,ML,['dt']
331,sievi,63.9,24.5,266.57,97,100,2.03,FI,['dt']
332,pacific grove,36.6177,-121.9166,287.83,79,100,3.13,US,['dt']
333,port saint john's,-31.6229,29.5448,296.09,96,99,0.92,ZA,['dt']
334,chiang klang,19.2938,100.8617,291.75,93,8,0.6,TH,['dt']
335,istgah-e rah ahan-e garmsar,35.2346,52.3094,284.85,36,96,2.89,IR,['dt']
336,samraong,12.4526,105.5873,293.66,70,88,2.22,KH,['dt']
337,paita,-5.0892,-81.1144,297.14,82,14,6.56,PE,['dt']
338,lazaro cardenas,17.9583,-102.2,298.62,70,76,2.17,MX,['dt']
339,puerto santa,-8.9906,-78.6456,296.64,79,24,3.68,PE,['dt']
340,howard springs,-12.497,131.047,299.19,96,100,7.58,AU,['dt']
341,tasqala,51.1167,50.3167,248.29,95,22,3.56,KZ,['dt']
342,dolores,-36.3132,-57.6792,295.59,55,92,4.09,AR,['dt']
343,katabu,-4.9333,122.5167,300.33,85,98,1.74,ID,['dt']
344,el campello,38.4288,-0.3977,284.5,53,95,2.97,ES,['dt']
345,sangla hill,31.7167,73.3833,281.31,34,0,0.78,PK,['dt']
346,mweka,-4.85,21.5667,294.47,95,98,1.24,CD,['dt']
347,inongo,-1.95,18.2667,298.05,74,95,1.43,CD,['dt']
348,constitucion,-35.3333,-72.4167,287.23,79,3,6.55,CL,['dt']
349,priargunsk,50.3691,119.1012,240.97,90,6,1.76,RU,['dt']
350,sechura,-5.5569,-80.8222,299.44,66,16,8.4,PE,['dt']
351,phan rang-thap cham,11.5667,108.9833,294.5,71,75,3.12,VN,['dt']
352,queenstown,-31.8976,26.8753,291.87,87,88,2.03,ZA,['dt']
353,robertsport,6.7533,-11.3686,300.25,80,1,2.59,LR,['dt']
354,maragogi,-9.0122,-35.2225,299.38,81,20,4.11,BR,['dt']
355,crane,31.3974,-102.3501,288.32,18,51,3.28,US,['dt']
356,pathein,16.7833,94.7333,290.32,92,96,2.5,MM,['dt']
357,kitimat,54.0524,-128.6534,259.21,68,50,2.67,CA,['dt']
358,puerto colombia,10.9878,-74.9547,301.2,85,2,7.88,CO,['dt']
359,fortuna,40.5982,-124.1573,287.0,97,75,6.69,US,['dt']
360,saint-pierre,-21.3393,55.4781,299.97,83,75,1.54,RE,['dt']
361,junin de los andes,-39.9504,-71.0694,286.9,46,0,6.31,AR,['dt']
362,alofi,-19.0595,-169.9187,302.09,70,99,9.26,NU,['dt']
363,malvan,16.0667,73.4667,296.91,71,4,2.42,IN,['dt']
